"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000047215",0.0865164138944772,7.68098886815963,0.8893690912402,0.376055159018175,0.608349706267564
"ENSMUSG00000029614",-0.0953349231708273,7.71340364942309,0.889175129032062,0.376104347279096,0.608349706267564
"ENSMUSG00000039196",0.382500749356747,9.36107407332947,0.877300445007696,0.379135294276684,0.612649861576763
"ENSMUSG00000034088",0.122401116471463,9.70119199317578,0.871431736157085,0.380647610743626,0.614402142319323
"ENSMUSG00000005312",0.114798462833682,7.43012073236601,0.870198301333271,0.380966677912286,0.614402142319323
"ENSMUSG00000031980",-0.179319690194191,8.72500030612895,0.8662410209952,0.381993237134485,0.615454334070742
"ENSMUSG00000063683",0.102517484770002,8.37644548736269,0.863437317538456,0.382723219365002,0.616027099662846
"ENSMUSG00000062410",-0.12962027060963,8.36312817608819,0.85860849000781,0.383985702200613,0.61740555503994
"ENSMUSG00000032418",0.373575072054232,7.07145350153815,0.857294981696839,0.384330266480789,0.61740555503994
"ENSMUSG00000078515",0.112261676908318,8.39959679582868,0.85266720399365,0.385548190763911,0.618399205870961
"ENSMUSG00000024583",0.146084045968589,6.96783154371507,0.852089511272976,0.385700659710399,0.618399205870961
"ENSMUSG00000067235",0.175511030673969,9.8911683790557,0.845802753277279,0.387366171986616,0.620028923632544
"ENSMUSG00000074582",-0.114530176530069,7.2206159107469,0.844679896919191,0.387664856942411,0.620028923632544
"ENSMUSG00000037656",0.0995857597371225,7.08491674332072,0.843992538180865,0.387847879889293,0.620028923632544
"ENSMUSG00000022533",0.107486217001102,8.57100792345972,0.840388516159233,0.3888097966061,0.620963218851491
"ENSMUSG00000046070",0.178217120193519,7.56818508426139,0.838553509746119,0.389301034398995,0.621144715408678
"ENSMUSG00000005142",0.094680397391184,7.56180409338628,0.836598812215987,0.389825412024811,0.62137868486513
"ENSMUSG00000010601",-0.141312937746502,7.34431535181122,0.832993436228072,0.390795594337305,0.622113766625817
"ENSMUSG00000017404",-0.103063663902226,7.11856068705781,0.832076561175998,0.391042939021942,0.622113766625817
"ENSMUSG00000026489",0.31434681162525,7.26776699020578,0.818643825010476,0.394695807798481,0.627318457805314
"ENSMUSG00000026542",0.311939111147561,8.59905824965391,0.816587059133652,0.395259983201501,0.627608757110491
"ENSMUSG00000036138",-0.105600329409328,8.03043541377448,0.81461894039562,0.395801064662977,0.627861862459592
"ENSMUSG00000027366",0.164159966351837,8.25741552489723,0.813220062414,0.396186377765381,0.627867621795811
"ENSMUSG00000026405",-0.131487380621607,9.47020386652838,0.810835127252518,0.39684469672066,0.628305607416252
"ENSMUSG00000024853",-0.0881844995561412,7.26785592768737,0.799917531519096,0.399881074118043,0.632504198965559
"ENSMUSG00000020349",0.0832359358239085,7.47695435181829,0.79555046056306,0.401106214960545,0.633832587521707
"ENSMUSG00000032047",0.14111729492566,9.23617405275719,0.791752254136893,0.402176741420766,0.634914337463685
"ENSMUSG00000020154",0.103761926095497,8.32685870939328,0.787808940141033,0.403293101326181,0.636066300749345
"ENSMUSG00000032096",-0.0992609494296896,7.98031956897488,0.783384009687209,0.404551839948127,0.637440399151982
"ENSMUSG00000029467",0.203532392209302,8.36891608811246,0.781935542603052,0.404965272965612,0.637481219165964
"ENSMUSG00000041408",0.11337757418503,7.56103102056373,0.774879125488736,0.406989291201721,0.640054860446301
"ENSMUSG00000039168",-0.16374796114374,6.85188441297854,0.772385135018563,0.407708616488041,0.640573709763922
"ENSMUSG00000029169",0.117163827056988,6.9097695432917,0.770089355972148,0.408372617370033,0.641004728600862
"ENSMUSG00000025810",0.217087356793332,7.72826590337193,0.766844674799728,0.409314097227638,0.641870057139623
"ENSMUSG00000032238",0.118395484654997,7.69543025870466,0.761551023159499,0.410857782999729,0.643677193366242
"ENSMUSG00000005417",0.0895212300114709,7.24633514183457,0.758986872177322,0.411608963034938,0.644240479726425
"ENSMUSG00000069805",-0.113827303539468,10.533931845777,0.755566405387542,0.412614531759075,0.644832020481284
"ENSMUSG00000022419",0.12726246371219,8.48293054959232,0.753440036411233,0.413241697126457,0.644832020481284
"ENSMUSG00000022562",0.138812497258387,8.09199958310001,0.751989276647852,0.413670496913016,0.644832020481284
"ENSMUSG00000028426",0.0917989378150751,7.93146936067987,0.751229215662036,0.413895440722757,0.644832020481284
"ENSMUSG00000003746",-0.0824069310316723,8.86038023073355,0.751055511820143,0.413946877585554,0.644832020481284
"ENSMUSG00000067889",-0.19945622622704,7.72531888011212,0.749059835384071,0.414538591846078,0.645142841614757
"ENSMUSG00000043733",-0.0882953567152838,7.00594780645944,0.745892234076819,0.41548065409981,0.645448010322714
"ENSMUSG00000024646",-0.0975040325716316,9.8860736405689,0.745762147626271,0.415519418195595,0.645448010322714
"ENSMUSG00000022629",-0.0974692009657512,7.3953988777987,0.742002259658543,0.416642408421851,0.646581850805609
"ENSMUSG00000028132",0.101951314929833,8.89497911600282,0.739214875656456,0.417478182973715,0.647268247871593
"ENSMUSG00000020456",-0.103040964154229,8.29538155436259,0.737757180259971,0.41791636852633,0.64733750115425
"ENSMUSG00000073664",0.0985724422529574,7.81431417027184,0.734433325129831,0.41891838332254,0.64740662912482
"ENSMUSG00000026667",-0.101852830050811,7.43696857823316,0.733983245723297,0.419054371591114,0.64740662912482
"ENSMUSG00000028367",-0.1796179298642,7.13229323372819,0.73369441675687,0.419141677822452,0.64740662912482
"ENSMUSG00000055670",-0.0953399718329849,7.27581847176929,0.726641118809493,0.421283147391376,0.650103918816898
"ENSMUSG00000041168",0.0920181147116176,7.82093604953293,0.723683772655395,0.422186459341708,0.650887277991668
"ENSMUSG00000066071",-0.3164286703467,7.93391912479174,0.72016900047978,0.423264242111893,0.651937901005677
"ENSMUSG00000032591",0.103378768163538,7.95551496771227,0.714151295409915,0.425120233187876,0.654184081940184
"ENSMUSG00000041341",0.102410547954652,7.08198749290192,0.709008813024023,0.426717100323748,0.65602769161922
"ENSMUSG00000109764",0.11833618937862,7.76195243638049,0.705857040158653,0.427700778030906,0.656537221423054
"ENSMUSG00000029775",0.0958982863683977,6.78872176023908,0.704982961509731,0.427974254527509,0.656537221423054
"ENSMUSG00000027605",-0.319242848952591,7.2593854666649,0.704115792604798,0.428245859323366,0.656537221423054
"ENSMUSG00000003526",-0.129333005923482,8.29196980598486,0.699457581871686,0.42970981977257,0.658168206262456
